iter	RMSE
117	0.1582156933
118	0.1575100252
119	0.1568247956
120	0.1563003582
121	0.1555280365
122	0.1550696134
123	0.1547837388
124	0.1538719151
125	0.1534053246
126	0.1523315366
127	0.151616534
128	0.1507230217
129	0.1499807575
130	0.1490628084
131	0.1483445291
132	0.147845548
133	0.1471986456
134	0.1464726524
135	0.1451769354
136	0.1443679762
137	0.1436607381
138	0.1435303576
139	0.1428108512
140	0.1412284448
141	0.1409517275
142	0.1403730141
143	0.1394733498
144	0.1391486648
145	0.1384571115
146	0.1372937309
147	0.1368847916
148	0.1364102984
149	0.135477289
150	0.1348578028
151	0.133724386
152	0.1331142005
153	0.1325868734
154	0.1321388353
155	0.1312359556
156	0.130717736
157	0.1302037452
158	0.1298665064
159	0.1290334995
160	0.1287305646
161	0.1279991011
162	0.1269810916
163	0.1266810836
164	0.1259241857
165	0.1250363968
166	0.1245260613
167	0.1235719771
168	0.1226604528
169	0.1221513817
170	0.1217292124
171	0.1212903928
172	0.1210460703
173	0.1205611443
174	0.120116236
175	0.1195425996
176	0.1187018646
177	0.1182312961
178	0.117988112
179	0.1174831822
180	0.1167550597
181	0.1164963252
182	0.1157330285
183	0.1152134072
184	0.114708113
185	0.1142266509
186	0.1139585338
187	0.113679755
188	0.1130797071
189	0.1127107458
190	0.1118362302
191	0.111237979
192	0.1108671358
193	0.1104285872
194	0.1098318553
195	0.1094178834
196	0.1092059165
197	0.1084481797
198	0.1077245906
199	0.107049565
200	0.1067335646
201	0.1066045812
202	0.1062710199
203	0.1060889412
204	0.1055812822
205	0.1052209186
206	0.1049355196
207	0.1042640496
208	0.1034780431
209	0.1030795739
210	0.1028676471
211	0.1022299529
212	0.1019578315
213	0.1013379651
214	0.1007374197
215	0.1003724869
216	0.09982736193
217	0.09913190332
218	0.09886038079
219	0.09827593379
220	0.09760588185
221	0.09709509213
222	0.09671449233
223	0.09625556508
224	0.0955934386
225	0.09528955682
226	0.09482931852
227	0.09458542765
228	0.09406803537
229	0.09344221678
230	0.09306577417
231	0.09284901223
232	0.09261261723
233	0.09223611362
234	0.09172875813
235	0.09143127252
236	0.09097741576
237	0.09066006931
238	0.09031853032
239	0.09016012911
240	0.08972739164
241	0.08932933824
242	0.08887352117
243	0.08861111193
244	0.08832401416
245	0.08797778164
246	0.08764742936
247	0.08717508402
248	0.08672199655
249	0.08640829
250	0.08619951513
251	0.08584789499
252	0.08551166461
253	0.08521914907
254	0.08493061387
255	0.0845241963
256	0.08401737601
257	0.08349048238
258	0.08331051542
259	0.08282222941
260	0.08253587554
261	0.08225492653
262	0.08198300117
263	0.08164564113
264	0.08149527952
265	0.08128492023
266	0.08107768701
267	0.08066236823
268	0.0804549906
269	0.08006204059
270	0.07986065468
271	0.07971102971
272	0.07949082896
273	0.07935911985
274	0.07911922853
275	0.0789415561
276	0.07869068788
277	0.07866965531
278	0.07838968205
279	0.07817770839
280	0.07795335287
281	0.07762943226
282	0.07745293914
283	0.07724766234
284	0.07682931489
285	0.07637685664
286	0.07593875379
287	0.07574290909
288	0.07562701254
289	0.07520298047
290	0.07478204479
291	0.07458341905
292	0.07434659431
293	0.07416688235
294	0.07372526481
295	0.07333129071
296	0.07315590469
297	0.07280548896
298	0.07243011619
299	0.07208112827
300	0.0718091036
301	0.07178871884
302	0.07159392654
303	0.0712464528
304	0.071070882
305	0.07079667677
306	0.070538849
307	0.07011364162
308	0.06993397366
309	0.06954977755
310	0.069303888
311	0.06896320222
312	0.06859540466
313	0.06841558921
314	0.06839548562
315	0.06814923482
316	0.06802791421
317	0.06800723141
318	0.06784953948
319	0.06750555796
320	0.06725317286
321	0.06698637437
322	0.06680008109
323	0.06678128502
324	0.0667630332
325	0.06658999133
326	0.06637844259
327	0.06614593007
328	0.06596653579
329	0.06594943664
330	0.0659332064
331	0.06591316734
332	0.06586624686
333	0.06557010875
334	0.06555742467
335	0.06538278492
336	0.06515799174
337	0.06514392452
338	0.06497528594
339	0.06475413017
340	0.06462327073
341	0.06458233364
342	0.06456907433
343	0.06440781514
344	0.06439384969
345	0.06404869118
346	0.06365990227
347	0.063246356
348	0.06308498402
349	0.06286825925
350	0.06282954491
351	0.06281376796
352	0.06260351216
353	0.0625669449
354	0.06246752975
355	0.06234716704
356	0.06201538168
357	0.06164821196
358	0.06131980723
359	0.06100252382
360	0.06080120199
361	0.06076533774
362	0.06046346697
363	0.06042932953
364	0.06024702249
365	0.06023525982
366	0.06013740709
367	0.06010509487
368	0.0600178448
369	0.05972485466
370	0.05944164164
371	0.05941937831
372	0.05940510193
373	0.05937247848
374	0.05922139667
375	0.05901689666
376	0.05883441123
377	0.05856023477
378	0.05829521186
379	0.05827253112
380	0.05810916706
381	0.05784063389
382	0.05759046735
383	0.0575101329
384	0.05730528572
385	0.05719517464
386	0.05705427598
387	0.05689708992
388	0.05688300753
389	0.05675492974
390	0.05674357845
391	0.05650111954
392	0.05648780362
393	0.05642006667
394	0.05620065726
395	0.05596617505
396	0.05570198642
397	0.0554813573
398	0.05529568459
399	0.05528794072
400	0.05508974796
401	0.05488071123
402	0.05464145403
403	0.05457690528
404	0.05438185358
405	0.05417009773
406	0.05400550876
407	0.0538283519
408	0.05364178277
409	0.0534169949
410	0.05330160944
411	0.05308355484
412	0.05294089785
413	0.05287747161
414	0.05265563837
415	0.05264345764
416	0.05247453716
417	0.05238150135
418	0.05223136843
419	0.05207272363
420	0.05198073364
421	0.05189980991
422	0.05175698062
423	0.05157038979
424	0.05135166825
425	0.05132775844
426	0.05128519065
427	0.05126826551
428	0.05105653925
429	0.05094029143
430	0.05086019087
431	0.05066146053
432	0.05058980927
433	0.05057029675
434	0.05042504749
435	0.05022478661
436	0.05004391399
437	0.04985023082
438	0.04983144146
439	0.04960621293
440	0.04951531291
441	0.04943100026
442	0.04925031726
443	0.04915843962
444	0.04893886475
445	0.04892866455
446	0.04872989786
447	0.04854479745
448	0.04853645279
449	0.04841620222
450	0.04837507686
451	0.04825757362
452	0.04824159662
453	0.0480644331
454	0.04787617764
455	0.0477888678
456	0.04762748356
457	0.04747118687
458	0.0473032342
459	0.04725817878
460	0.04708322751
461	0.04697429693
462	0.04692301508
463	0.04677390126
464	0.04673654664
465	0.04654697867
466	0.04637203758
467	0.04636586601
468	0.04625475334
469	0.04620625662
470	0.04602424226
471	0.0460151687
472	0.04595070222
473	0.04586911195
474	0.0456667766
475	0.04562202863
476	0.04545552523
477	0.04532801311
478	0.04522889806
479	0.04506769346
480	0.04506210861
481	0.04490274891
482	0.04489478828
483	0.04477135117
484	0.04459851129
485	0.04442984445
486	0.04433209139
487	0.04419226708
488	0.0441188541
489	0.0440479854
490	0.04389952872
491	0.04389107305
492	0.04381769043
493	0.04367634556
494	0.0435831501
495	0.04357795475
496	0.04340194429
497	0.04329544041
498	0.04309634294
499	0.04294673315
500	0.04294155621
501	0.04279675423
502	0.04271797501
503	0.04262813443
504	0.04244054853
505	0.04243549246
506	0.04226906709
507	0.04223916873
508	0.04208513377
509	0.04197095503
510	0.04191217061
511	0.04190782705
512	0.04178292896
513	0.04165978835
514	0.04165504623
515	0.04151432096
516	0.04134717179
517	0.04132322292
518	0.04116005411
519	0.04102715457
520	0.04089199386
521	0.04078066479
522	0.04069085695
523	0.04061858747
524	0.04049492799
525	0.04041104983
526	0.04032294563
527	0.04024408012
528	0.04018033769
529	0.03999576025
530	0.03987099213
531	0.03977962604
532	0.03970461186
533	0.03963269042
534	0.03945292004
535	0.03936421207
536	0.03935947749
537	0.03925234809
538	0.03912912904
539	0.03900679055
540	0.0388818182
541	0.03879101725
542	0.03867195785
543	0.03860441433
544	0.03846289761
545	0.03834703254
546	0.03828921756
547	0.03821740311
548	0.03815850723
549	0.03810132584
550	0.03796736525
551	0.03782928748
552	0.03775234814
553	0.03774791096
554	0.03774672118
555	0.03769162632
556	0.0376267382
557	0.03751218022
558	0.03751107067
559	0.0374001696
560	0.03733776307
561	0.03728320343
562	0.03717558874
563	0.03711669447
564	0.03705586637
565	0.03696968189
566	0.0368631564
567	0.03678081372
568	0.03670175112
569	0.03669664286
570	0.03653417728
571	0.03642681585
572	0.03628988553
573	0.03622818876
574	0.03613313317
575	0.03600756928
576	0.03587660863
577	0.0358109285
578	0.03579769058
579	0.03573548266
580	0.03565746181
581	0.03554591366
582	0.03549481567
583	0.03538474681
584	0.03529469942
585	0.03519110532
586	0.03514018482
587	0.03502344581
588	0.03493856458
589	0.03485140858
590	0.03475253844
591	0.0347245513
592	0.03462747377
593	0.03451482096
594	0.03439056207
595	0.03432126021
596	0.03431618674
597	0.03422268929
598	0.03415730113
599	0.03415324392
600	0.03413098934
601	0.0340700853
602	0.03395621429
603	0.0338507453
604	0.03373884587
605	0.03373233802
606	0.03365961326
607	0.03356693517
608	0.03354909751
609	0.03354438965
610	0.03343313757
611	0.03334342967
612	0.03329323525
613	0.0332343373
614	0.03317295274
615	0.03309787857
616	0.0330345098
617	0.03297833484
618	0.03283146347
619	0.03275163346
620	0.03268276647
621	0.03256281224
622	0.03247716496
623	0.03241671741
624	0.03233170986
625	0.0322780501
626	0.03221085856
627	0.03214477967
628	0.03214091656
629	0.0320889812
630	0.0320059873
631	0.03192406422
632	0.03187417871
633	0.03181541018
634	0.03180968797
635	0.03178339769
636	0.03177841706
637	0.03172749206
638	0.03169515916
639	0.03164555734
640	0.03151890576
641	0.03149422448
642	0.03148897423
643	0.03144841935
644	0.03140142049
645	0.03127596093
646	0.0312711736
647	0.03121018424
648	0.03116351433
649	0.03115897041
650	0.03105430875
651	0.03098752245
652	0.03088627793
653	0.03080335246
654	0.03079071624
655	0.03072112162
656	0.03064251545
657	0.03063870241
658	0.03056268002
659	0.03055776288
660	0.03052120465
661	0.03041730371
662	0.030291226
663	0.03018229119
664	0.03017822663
665	0.03008436774
666	0.03003021024
667	0.02993525414
668	0.02987723833
669	0.02978344979
670	0.0297243533
671	0.02967995421
672	0.0296344576
673	0.02955313264
674	0.0294495788
675	0.0293898007
676	0.0293366799
677	0.02923326736
678	0.02917885767
679	0.02907737267
680	0.02907406019
681	0.02904270004
682	0.0289557961
683	0.02888325468
684	0.02883008386
685	0.02872586077
686	0.02872320725
687	0.02862456869
688	0.02854853584
689	0.02845850315
690	0.02833480071
691	0.02824940157
692	0.0282069784
693	0.02818966392
694	0.02817035137
695	0.02816716413
696	0.02813767524
697	0.02805880065
698	0.02802399213
699	0.0279838697
700	0.02785562491
701	0.02773767906
702	0.02773431074
703	0.02764768692
704	0.02757679056
705	0.02750164915
706	0.02749812972
707	0.02741405192
708	0.02733260588
709	0.02725909647
710	0.02720461352
711	0.02716712025
712	0.02709549635
713	0.02705303756
714	0.02694173294
715	0.0268923404
716	0.02688905572
717	0.02678441858
718	0.02678015873
719	0.02671751153
720	0.0267141828
721	0.02667614491
722	0.02658218862
723	0.02649383971
724	0.02646297139
725	0.02638498547
726	0.02634751778
727	0.02634451701
728	0.0262371415
729	0.02618598835
730	0.02618294675
731	0.02611669954
732	0.0260482358
733	0.02596445164
734	0.02590487074
735	0.02585554122
736	0.02580452387
737	0.0257764524
738	0.0257076264
739	0.0256259075
740	0.02552248211
741	0.02544268461
742	0.0253803949
743	0.02530904015
744	0.02526271549
745	0.02516209114
746	0.02512101177
747	0.02508562284
748	0.02503494688
749	0.02500770293
750	0.02494420147
751	0.02487554741
752	0.02486870683
753	0.02481518832
754	0.024760941
755	0.02469537957
756	0.02463025779
757	0.02460180981
758	0.02453740099
759	0.02447618958
760	0.02442074516
761	0.02439676131
762	0.02431633615
763	0.02428053674
764	0.0242163257
765	0.02418996591
766	0.02415065435
767	0.02405683313
768	0.02399605215
769	0.02395309885
770	0.02388996673
771	0.02388484273
772	0.02381415295
773	0.02376084194
774	0.02371006933
775	0.0236692697
776	0.0235931441
777	0.02355960909
778	0.0235266486
779	0.02345120499
780	0.0233857109
781	0.02338215847
782	0.02335131307
783	0.02331602811
784	0.023312816
785	0.02327803268
786	0.02323548121
787	0.02315064082
788	0.02309308442
789	0.02305516149
790	0.02300585693
791	0.02295976146
792	0.02295306618
793	0.02290815756
794	0.02288307776
795	0.02283442069
796	0.02283156951
797	0.02282845476
798	0.02275978248
799	0.02272304841
800	0.02265496639
801	0.02259932747
802	0.02251517846
803	0.02243307943
804	0.02235416917
805	0.02234939666
806	0.02232215205
807	0.02225281344
808	0.02217308862
809	0.02215052703
810	0.02212102403
811	0.02206274278
812	0.02197302542
813	0.02194575214
814	0.02191895307
